chr	location
chrX	24235152
chrX	24310818
chrX	24393652
chrX	24467359
chrX	24604523
chrX	24607216
chrX	24739807
chrX	24742528
chrX	24994036
chrX	25004189
chrX	25006913
chrX	25266671
chrX	25409331
chrX	25534990
chrX	25537701
chrX	25669841
chrX	25810801
chrX	25866878
chrX	25869560
chrX	25982678
chrX	25985358
chrX	26014658
chrX	26017401
chrX	26075502
chrX	26183355
chrX	26190960
chrX	26331943
chrX	26334649
chrX	26457565
chrX	26465176
chrX	26567129
chrX	26659207
chrX	26788475
chrX	26901941
chrX	26976651
chrX	26979344
chrX	27035122
chrX	27037827
chrX	27298914
chrX	27301611
chrX	27622662
chrX	27632815
chrX	27635539
chrX	27730998
chrX	27733697
chrX	27969523
chrX	27979674
chrX	27982386
chrX	28087283
chrX	28089988
chrX	28316306
chrX	28326434
chrX	28329132
chrX	28411675
chrX	28414372
chrX	28630587
chrX	28640735
chrX	28643479
chrX	28738965
chrX	28741666
chrX	28977355
chrX	28987508
chrX	28990232
chrX	29087574
chrX	29090271
chrX	29422384
chrX	29425077
chrX	29480855
chrX	29483564
chrX	29600485
chrX	29608103
chrX	29840473
chrX	29843172
chrX	29938697
chrX	29941416
chrX	29951570
chrX	30176657
chrX	30179352
chrX	30294188
chrX	30296891
chrX	30307040
chrX	30641240
chrX	30643945
chrX	30866163
chrX	30876311
chrX	30879018
chrX	30984130
chrX	30986823
chrX	34931421
chrX	34934126
chrX	35031897
chrX	35034615
chrX	35044770
chrX	35260848
chrX	35263551
chrX	35368653
chrX	35371360
chrX	35381503
chrX	46250477
chrX	24232461
chrX	24396318
chrX	24464660
chrX	24538711
chrX	24541446
chrX	24818466
chrX	24821139
chrX	24937647
chrX	25342471
chrX	25345155
chrX	25406628
chrX	25608674
chrX	25611381
chrX	25667168
chrX	25813564
chrX	26072804
chrX	26273548
chrX	26276209
chrX	26509871
chrX	26512588
chrX	26569835
chrX	26661979
chrX	26721369
chrX	26724035
chrX	26791163
chrX	26899136
chrX	27311769
chrX	27461229
chrX	27566271
chrX	27743859
chrX	27913213
chrX	28100171
chrX	28259895
chrX	28424530
chrX	28574188
chrX	28751833
chrX	28921001
chrX	29100419
chrX	29671500
chrX	29830347
chrX	30009964
chrX	30166467
chrX	30363419
chrX	30654109
chrX	30809728
chrX	30996981
chrX	34765638
chrX	34921257
chrX	35101099
chrX	35250700
chrX	35437866
chrX	35635430
chrX	35638062
chrX	35707783
chrX	24934990
chrX	27300245
chrX	27458572
chrX	27563614
chrX	27732329
chrX	27910556
chrX	28088614
chrX	28413006
chrX	28571531
chrX	28740296
chrX	28918344
chrX	29088905
chrX	29841841
chrX	30012620
chrX	30178021
chrX	30642571
chrX	30985461
chrX	34932795
chrX	35103756
chrX	35262220
chrX	35595837
chrX	35710006
chrX	46253130
chrX	46256158
chrX	46261872
chr1	38691667
chr11	120211192
chr11	76054591
chr13	102508373
chr19	4540899
chr3	50661170
chr3	65530916
chr3	7699419
chr4	155034820
chr5	5507692
chr7	112831882
chr7	46699534
chr7	57789569
chr8	106525998
chr8	126044004
chr8	22482141
chrX	109408239
chrX	24465953
chrX	24741138
chrX	25005582
chrX	25536319
chrX	25812132
chrX	26074174
chrX	26189567
chrX	26463779
chrX	26660531
chrX	26900467
chrX	26977969
chrX	27634208
chrX	27981055
chrX	28257238
chrX	28327801
chrX	28642148
chrX	28988901
chrX	29423702
chrX	29606695
chrX	29940028
chrX	30295519
chrX	30366076
chrX	30807071
chrX	30877687
chrX	34768295
chrX	35033228
chrX	35369984
chrX	35440523
chrX	35636733
chrX	46259239
chrX	46263304
